ICM-Hydro_compartment,CRMS_site,LDEQ_site
1,na,na
2,CRMS0065-H02,na
3,CRMS5167-H01,na
4,CRMS0039-H01,na
5,CRMS5373-H01,na
6,na,na
7,CRMS0059-H01,na
8,na,na
9,na,na
10,na,na
11,na,LDEQ_1048
12,CRMS2830-H01,LDEQ_0304
13,na,LDEQ_1050
14,na,na
15,CRMS0038-H01,LDEQ_0243
16,CRMS0063-H01,na
17,CRMS0097-H01,na
18,CRMS0061-H01,LDEQ_1102
19,CRMS5414-H01,na
20,CRMS5255-H01,na
21,CRMS0089-H02,na
22,na,na
23,CRMS0047-H01,na
24,CRMS0058-H02,na
25,na,na
26,CRMS3913-H01,na
27,CRMS0056-H01,na
28,CRMS0008-H01,na
29,CRMS5267-H01,na
30,na,na
31,na,na
32,CRMS0046-H01,na
33,na,LDEQ_0036
34,CRMS0030-H01,na
35,CRMS0103-H01,na
36,CRMS4094-H01,na
37,na,na
38,na,LDEQ_0138
39,CRMS0006-H01,na
40,CRMS3667-H01,LDEQ_1047
41,CRMS4107-H01,na
42,CRMS0002-H01,LDEQ_0035
43,CRMS3784-H01,na
44,CRMS4110-H01,na
45,CRMS4406-H01,LDEQ_1045
46,na,na
47,na,na
48,CRMS0086-H01,na
49,CRMS0035-H01,na
50,na,na
51,na,na
52,na,na
53,na,na
54,na,na
55,CRMS4548-H02,na
56,na,na
57,na,na
58,CRMS4551-H01,LDEQ_1085
59,na,LDEQ_1086
60,na,na
61,CRMS4572-H01,na
62,CRMS4596-H01,na
63,CRMS0108-H01,na
64,CRMS1024-H01,na
65,CRMS4557-H01,na
66,na,na
67,CRMS0003-H01,LDEQ_1089
68,na,na
69,na,na
70,na,na
71,na,na
72,na,na
73,na,na
74,na,na
75,na,na
76,na,na
77,na,na
78,na,na
79,na,LDEQ_1087
80,na,na
81,CRMS3641-H01,na
82,CRMS3639-H01,LDEQ_1065
83,na,na
84,na,na
85,CRMS3800-H01,na
86,na,na
87,na,na
88,na,na
89,na,na
90,na,na
91,na,na
92,na,na
93,CRMS0125-H01,na
94,na,na
95,CRMS0128-H01,na
96,na,na
97,CRMS0117-H01,na
98,CRMS0120-H01,na
99,CRMS4355-H01,na
100,na,na
101,na,LDEQ_1081
102,CRMS0115-H01,na
103,CRMS0114-H01,na
104,na,na
105,na,na
106,na,na
107,CRMS0131-H01,na
108,na,na
109,na,na
110,CRMS0146-H01,na
111,na,na
112,na,na
113,CRMS0135-H01,LDEQ_0007
114,na,na
115,CRMS0121-H01,na
116,CRMS0132-H01,na
117,na,na
118,CRMS0136-H01,LDEQ_1080
119,na,na
120,na,na
121,na,na
122,na,na
123,na,na
124,na,na
125,CRMS0147-H01,na
126,na,na
127,na,LDEQ_0006
128,na,na
129,CRMS0148-H01,na
130,CRMS0119-H01,na
131,CRMS0129-H01,na
132,CRMS0118-H01,na
133,na,na
134,CRMS0139-H01,na
135,na,na
136,CRMS2614-H01,na
137,na,LDEQ_1083
138,na,na
139,na,LDEQ_1082
140,na,na
141,na,na
142,na,LDEQ_1095
143,na,na
144,na,na
145,na,na
146,na,na
147,CRMS0185-H01,na
148,CRMS0188-H01,LDEQ_0904
149,na,LDEQ_0901
150,CRMS0278-H01,na
151,CRMS3166-H01,na
152,na,na
153,CRMS0273-H01,na
154,CRMS0189-H01,na
155,na,na
156,na,na
157,na,na
158,CRMS3054-H01,LDEQ_0292
159,na,na
160,na,na
161,CRMS0241-H01,na
162,na,na
163,CRMS0218-H01,na
164,CRMS0268-H01,LDEQ_0919
165,na,na
166,CRMS0206-H01,na
167,na,na
168,na,na
169,na,na
170,na,na
171,CRMS3136-H01,LDEQ_0084
172,na,na
173,na,na
174,na,na
175,CRMS0217-H01,na
176,CRMS5672-H01,na
177,na,na
178,na,na
179,na,na
180,na,na
181,na,na
182,na,na
183,CRMS0197-H01,na
184,na,na
185,na,na
186,na,na
187,na,na
188,na,na
189,na,na
190,na,na
191,na,na
192,na,na
193,na,na
194,na,na
195,na,na
196,na,na
197,na,na
198,na,na
199,na,na
200,na,na
201,na,na
202,na,na
203,na,na
204,na,na
205,CRMS3985-H01,LDEQ_0899
206,na,na
207,CRMS0261-H01,na
208,CRMS0220-H01,LDEQ_0907
209,na,na
210,CRMS4218-H01,na
211,CRMS3565-H01,LDEQ_0897
212,CRMS0190-H01,na
213,CRMS6303-H01,na
214,na,na
215,na,na
216,CRMS0175-H01,na
217,CRMS0164-H01,LDEQ_0925
218,na,na
219,na,LDEQ_0924
220,na,na
