prj_no,S,year,code,ecoregion,value
G300_FWOA_v3,S01,5,LND,AVT,3573179100.0
G300_FWOA_v3,S01,5,LND,LTB,1641324600.0
G300_FWOA_v3,S01,5,LND,UBA,2191412700.0
G300_FWOA_v3,S01,5,LND,BFD,281233800.0
G300_FWOA_v3,S01,5,LND,UPO,1896727500.0
G300_FWOA_v3,S01,5,LND,LPO,497709000.0
G300_FWOA_v3,S01,5,LND,MEL,1669077900.0
G300_FWOA_v3,S01,5,LND,LBA,1182780900.0
G300_FWOA_v3,S01,5,LND,BRT,892614600.0
G300_FWOA_v3,S01,5,LND,CAS,1346519700.0
G300_FWOA_v3,S01,5,LND,EWCR,960124500.0
G300_FWOA_v3,S01,10,LND,AVT,3563335800.0
G300_FWOA_v3,S01,10,LND,LTB,1611526500.0
G300_FWOA_v3,S01,10,LND,UBA,2183135400.0
G300_FWOA_v3,S01,10,LND,BFD,268935300.0
G300_FWOA_v3,S01,10,LND,UPO,1877935500.0
G300_FWOA_v3,S01,10,LND,LPO,489073500.0
G300_FWOA_v3,S01,10,LND,MEL,1661148900.0
G300_FWOA_v3,S01,10,LND,LBA,1141477200.0
G300_FWOA_v3,S01,10,LND,BRT,881869500.0
G300_FWOA_v3,S01,10,LND,CAS,1343588400.0
G300_FWOA_v3,S01,10,LND,EWCR,953008200.0
G300_FWOA_v3,S01,15,LND,AVT,3564817200.0
G300_FWOA_v3,S01,15,LND,LTB,1586679300.0
G300_FWOA_v3,S01,15,LND,UBA,2181559500.0
G300_FWOA_v3,S01,15,LND,BFD,249707700.0
G300_FWOA_v3,S01,15,LND,UPO,1872283500.0
G300_FWOA_v3,S01,15,LND,LPO,477027000.0
G300_FWOA_v3,S01,15,LND,MEL,1656369000.0
G300_FWOA_v3,S01,15,LND,LBA,1095828300.0
G300_FWOA_v3,S01,15,LND,BRT,872007300.0
G300_FWOA_v3,S01,15,LND,CAS,1340955900.0
G300_FWOA_v3,S01,15,LND,EWCR,947917800.0
G300_FWOA_v3,S01,20,LND,AVT,3555723600.0
G300_FWOA_v3,S01,20,LND,LTB,1532686500.0
G300_FWOA_v3,S01,20,LND,UBA,2178219600.0
G300_FWOA_v3,S01,20,LND,BFD,234020700.0
G300_FWOA_v3,S01,20,LND,UPO,1865705400.0
G300_FWOA_v3,S01,20,LND,LPO,462699000.0
G300_FWOA_v3,S01,20,LND,MEL,1647846000.0
G300_FWOA_v3,S01,20,LND,LBA,1039058100.0
G300_FWOA_v3,S01,20,LND,BRT,857017800.0
G300_FWOA_v3,S01,20,LND,CAS,1335490200.0
G300_FWOA_v3,S01,20,LND,EWCR,941507100.0
G300_FWOA_v3,S01,25,LND,AVT,3533982300.0
G300_FWOA_v3,S01,25,LND,LTB,1463526900.0
G300_FWOA_v3,S01,25,LND,UBA,2175519600.0
G300_FWOA_v3,S01,25,LND,BFD,203559300.0
G300_FWOA_v3,S01,25,LND,UPO,1859184900.0
G300_FWOA_v3,S01,25,LND,LPO,446902200.0
G300_FWOA_v3,S01,25,LND,MEL,1632883500.0
G300_FWOA_v3,S01,25,LND,LBA,972043200.0
G300_FWOA_v3,S01,25,LND,BRT,840008700.0
G300_FWOA_v3,S01,25,LND,CAS,1329309000.0
G300_FWOA_v3,S01,25,LND,EWCR,889375500.0
G300_FWOA_v3,S01,30,LND,AVT,3501411300.0
G300_FWOA_v3,S01,30,LND,LTB,1402645500.0
G300_FWOA_v3,S01,30,LND,UBA,2171415600.0
G300_FWOA_v3,S01,30,LND,BFD,201883500.0
G300_FWOA_v3,S01,30,LND,UPO,1851291000.0
G300_FWOA_v3,S01,30,LND,LPO,422371800.0
G300_FWOA_v3,S01,30,LND,MEL,1613392200.0
G300_FWOA_v3,S01,30,LND,LBA,890782200.0
G300_FWOA_v3,S01,30,LND,BRT,822681000.0
G300_FWOA_v3,S01,30,LND,CAS,1313823600.0
G300_FWOA_v3,S01,30,LND,EWCR,871833600.0
G300_FWOA_v3,S01,35,LND,AVT,3464230500.0
G300_FWOA_v3,S01,35,LND,LTB,1348217100.0
G300_FWOA_v3,S01,35,LND,UBA,2169987300.0
G300_FWOA_v3,S01,35,LND,BFD,209431800.0
G300_FWOA_v3,S01,35,LND,UPO,1845319500.0
G300_FWOA_v3,S01,35,LND,LPO,395573400.0
G300_FWOA_v3,S01,35,LND,MEL,1523223000.0
G300_FWOA_v3,S01,35,LND,LBA,795297600.0
G300_FWOA_v3,S01,35,LND,BRT,810014400.0
G300_FWOA_v3,S01,35,LND,CAS,1290198600.0
G300_FWOA_v3,S01,35,LND,EWCR,843717600.0
G300_FWOA_v3,S01,40,LND,AVT,3412037700.0
G300_FWOA_v3,S01,40,LND,LTB,1275730200.0
G300_FWOA_v3,S01,40,LND,UBA,2164809600.0
G300_FWOA_v3,S01,40,LND,BFD,201699900.0
G300_FWOA_v3,S01,40,LND,UPO,1836539100.0
G300_FWOA_v3,S01,40,LND,LPO,364381200.0
G300_FWOA_v3,S01,40,LND,MEL,1504557900.0
G300_FWOA_v3,S01,40,LND,LBA,671379300.0
G300_FWOA_v3,S01,40,LND,BRT,779278500.0
G300_FWOA_v3,S01,40,LND,CAS,1268798400.0
G300_FWOA_v3,S01,40,LND,EWCR,803966400.0
G300_FWOA_v3,S01,45,LND,AVT,3350952000.0
G300_FWOA_v3,S01,45,LND,LTB,1187856900.0
G300_FWOA_v3,S01,45,LND,UBA,2152170000.0
G300_FWOA_v3,S01,45,LND,BFD,206487000.0
G300_FWOA_v3,S01,45,LND,UPO,1828471500.0
G300_FWOA_v3,S01,45,LND,LPO,321716700.0
G300_FWOA_v3,S01,45,LND,MEL,1445141700.0
G300_FWOA_v3,S01,45,LND,LBA,541552500.0
G300_FWOA_v3,S01,45,LND,BRT,754032600.0
G300_FWOA_v3,S01,45,LND,CAS,1232351100.0
G300_FWOA_v3,S01,45,LND,EWCR,759349800.0
G300_FWOA_v3,S01,50,LND,AVT,3241876500.0
G300_FWOA_v3,S01,50,LND,LTB,1064963700.0
G300_FWOA_v3,S01,50,LND,UBA,2135277900.0
G300_FWOA_v3,S01,50,LND,BFD,202620600.0
G300_FWOA_v3,S01,50,LND,UPO,1817918100.0
G300_FWOA_v3,S01,50,LND,LPO,250142400.0
G300_FWOA_v3,S01,50,LND,MEL,1394757000.0
G300_FWOA_v3,S01,50,LND,LBA,444074400.0
G300_FWOA_v3,S01,50,LND,BRT,720439200.0
G300_FWOA_v3,S01,50,LND,CAS,1196544600.0
G300_FWOA_v3,S01,50,LND,EWCR,701554500.0
G300_FWOA_v3,S01,5,WAT,AVT,3474821700.0
G300_FWOA_v3,S01,5,WAT,LTB,3064509900.0
G300_FWOA_v3,S01,5,WAT,UBA,408830400.0
G300_FWOA_v3,S01,5,WAT,BFD,1672319700.0
G300_FWOA_v3,S01,5,WAT,UPO,2136220200.0
G300_FWOA_v3,S01,5,WAT,LPO,4799712600.0
G300_FWOA_v3,S01,5,WAT,MEL,676174500.0
G300_FWOA_v3,S01,5,WAT,LBA,2752066800.0
G300_FWOA_v3,S01,5,WAT,BRT,2081514600.0
G300_FWOA_v3,S01,5,WAT,CAS,973116900.0
G300_FWOA_v3,S01,5,WAT,EWCR,1046817900.0
G300_FWOA_v3,S01,10,WAT,AVT,3484665000.0
G300_FWOA_v3,S01,10,WAT,LTB,3094308000.0
G300_FWOA_v3,S01,10,WAT,UBA,417107700.0
G300_FWOA_v3,S01,10,WAT,BFD,1684618200.0
G300_FWOA_v3,S01,10,WAT,UPO,2154690900.0
G300_FWOA_v3,S01,10,WAT,LPO,4808348100.0
G300_FWOA_v3,S01,10,WAT,MEL,684103500.0
G300_FWOA_v3,S01,10,WAT,LBA,2793370500.0
G300_FWOA_v3,S01,10,WAT,BRT,2092259700.0
G300_FWOA_v3,S01,10,WAT,CAS,976048200.0
G300_FWOA_v3,S01,10,WAT,EWCR,1053934200.0
G300_FWOA_v3,S01,15,WAT,AVT,3483183600.0
G300_FWOA_v3,S01,15,WAT,LTB,3119155200.0
G300_FWOA_v3,S01,15,WAT,UBA,418683600.0
G300_FWOA_v3,S01,15,WAT,BFD,1703845800.0
G300_FWOA_v3,S01,15,WAT,UPO,2159944200.0
G300_FWOA_v3,S01,15,WAT,LPO,4820394600.0
G300_FWOA_v3,S01,15,WAT,MEL,688883400.0
G300_FWOA_v3,S01,15,WAT,LBA,2839019400.0
G300_FWOA_v3,S01,15,WAT,BRT,2102121900.0
G300_FWOA_v3,S01,15,WAT,CAS,978680700.0
G300_FWOA_v3,S01,15,WAT,EWCR,1059024600.0
G300_FWOA_v3,S01,20,WAT,AVT,3492277200.0
G300_FWOA_v3,S01,20,WAT,LTB,3173148000.0
G300_FWOA_v3,S01,20,WAT,UBA,422023500.0
G300_FWOA_v3,S01,20,WAT,BFD,1719532800.0
G300_FWOA_v3,S01,20,WAT,UPO,2166051600.0
G300_FWOA_v3,S01,20,WAT,LPO,4834722600.0
G300_FWOA_v3,S01,20,WAT,MEL,697406400.0
G300_FWOA_v3,S01,20,WAT,LBA,2895789600.0
G300_FWOA_v3,S01,20,WAT,BRT,2117111400.0
G300_FWOA_v3,S01,20,WAT,CAS,984146400.0
G300_FWOA_v3,S01,20,WAT,EWCR,1065435300.0
G300_FWOA_v3,S01,25,WAT,AVT,3514018500.0
G300_FWOA_v3,S01,25,WAT,LTB,3242307600.0
G300_FWOA_v3,S01,25,WAT,UBA,424723500.0
G300_FWOA_v3,S01,25,WAT,BFD,1749994200.0
G300_FWOA_v3,S01,25,WAT,UPO,2172033900.0
G300_FWOA_v3,S01,25,WAT,LPO,4850519400.0
G300_FWOA_v3,S01,25,WAT,MEL,712368900.0
G300_FWOA_v3,S01,25,WAT,LBA,2962804500.0
G300_FWOA_v3,S01,25,WAT,BRT,2134120500.0
G300_FWOA_v3,S01,25,WAT,CAS,990327600.0
G300_FWOA_v3,S01,25,WAT,EWCR,1117566900.0
G300_FWOA_v3,S01,30,WAT,AVT,3546589500.0
G300_FWOA_v3,S01,30,WAT,LTB,3303189000.0
G300_FWOA_v3,S01,30,WAT,UBA,428827500.0
G300_FWOA_v3,S01,30,WAT,BFD,1751670000.0
G300_FWOA_v3,S01,30,WAT,UPO,2179326600.0
G300_FWOA_v3,S01,30,WAT,LPO,4875049800.0
G300_FWOA_v3,S01,30,WAT,MEL,731860200.0
G300_FWOA_v3,S01,30,WAT,LBA,3044065500.0
G300_FWOA_v3,S01,30,WAT,BRT,2151448200.0
G300_FWOA_v3,S01,30,WAT,CAS,1005813000.0
G300_FWOA_v3,S01,30,WAT,EWCR,1135108800.0
G300_FWOA_v3,S01,35,WAT,AVT,3583770300.0
G300_FWOA_v3,S01,35,WAT,LTB,3357617400.0
G300_FWOA_v3,S01,35,WAT,UBA,430255800.0
G300_FWOA_v3,S01,35,WAT,BFD,1744121700.0
G300_FWOA_v3,S01,35,WAT,UPO,2184606900.0
G300_FWOA_v3,S01,35,WAT,LPO,4901848200.0
G300_FWOA_v3,S01,35,WAT,MEL,822029400.0
G300_FWOA_v3,S01,35,WAT,LBA,3139550100.0
G300_FWOA_v3,S01,35,WAT,BRT,2164114800.0
G300_FWOA_v3,S01,35,WAT,CAS,1029438000.0
G300_FWOA_v3,S01,35,WAT,EWCR,1163224800.0
G300_FWOA_v3,S01,40,WAT,AVT,3635963100.0
G300_FWOA_v3,S01,40,WAT,LTB,3430104300.0
G300_FWOA_v3,S01,40,WAT,UBA,435433500.0
G300_FWOA_v3,S01,40,WAT,BFD,1751853600.0
