Scenario,ModelGroup,ICM-Hydro_CompID,ICM_years_to_correct ('all' or space delimited integers),Notes
7,601,92,all,Below Mid Breton - should be no change but there is. Comp 92 and 93 both have water level decrease - remove
8,601,92,all,Below Mid Breton - should be no change but there is. Comp 92 and 93 both have water level decrease - remove
7,606,92,all,Ridge component of land bridge project extends into comp. 92/93. But still remove compartments per Stu/Eric
8,606,92,all,Ridge component of land bridge project extends into comp. 92/93. But still remove compartments per Stu/Eric
7,607,92,all,Remove compartments
8,607,92,all,Remove compartments
7,619,92,all,Remove compartments
8,619,92,all,Remove compartments
7,625,92,all,Set up correct but major change in comp 92/93 - gain at year 27 due to reduced stage. But no reason for decreased stage. Comp 95 98 and 103 have slight increases from year 7 when project goes in.
8,625,92,all,Set up correct but major change in comp 92/93 - gain at year 27 due to reduced stage. But no reason for decreased stage. Comp 95 98 and 103 have slight increases from year 7 when project goes in.
7,632,92,all,Signature in benefits over time
8,632,92,all,Signature in benefits over time
7,633,92,all,Signature in benefits over time
8,633,92,all,Signature in benefits over time
7,639,92,all,Signature in benefits over time
8,639,92,all,Signature in benefits over time
7,640,92,all,Signature in benefits over time
8,640,92,all,Signature in benefits over time
7,641,92,all,extends into compartment 92 (one of the compartments that would be removed). Remove compartments (Stu/Eric)
8,641,92,all,extends into compartment 92 (one of the compartments that would be removed). Remove compartments (Stu/Eric)
7,642,92,all,Signature in benefits over time
8,642,92,all,Signature in benefits over time
7,649,92,all,Removing only 92 and 93 as projects can interact with 95 98 and 103
8,649,92,all,Removing only 92 and 93 as projects can interact with 95 98 and 103
7,650,92,all,Removing only 92 and 93 as projects can interact with 95 98 and 103
8,650,92,all,Removing only 92 and 93 as projects can interact with 95 98 and 103
7,601,93,all,Below Mid Breton - should be no change but there is. Comp 92 and 93 both have water level decrease - remove
8,601,93,all,Below Mid Breton - should be no change but there is. Comp 92 and 93 both have water level decrease - remove
7,606,93,all,Ridge component of land bridge project extends into comp. 92/93. But still remove compartments per Stu/Eric
8,606,93,all,Ridge component of land bridge project extends into comp. 92/93. But still remove compartments per Stu/Eric
7,607,93,all,Remove compartments
8,607,93,all,Remove compartments
7,619,93,all,Remove compartments
8,619,93,all,Remove compartments
7,625,93,all,Set up correct but major change in comp 92/93 - gain at year 27 due to reduced stage. But no reason for decreased stage. Comp 95 98 and 103 have slight increases from year 7 when project goes in.
8,625,93,all,Set up correct but major change in comp 92/93 - gain at year 27 due to reduced stage. But no reason for decreased stage. Comp 95 98 and 103 have slight increases from year 7 when project goes in.
7,632,93,all,Signature in benefits over time
8,632,93,all,Signature in benefits over time
7,633,93,all,Signature in benefits over time
8,633,93,all,Signature in benefits over time
7,639,93,all,Signature in benefits over time
8,639,93,all,Signature in benefits over time
7,640,93,all,Signature in benefits over time
8,640,93,all,Signature in benefits over time
7,641,93,all,extends into compartment 92 (one of the compartments that would be removed). Remove compartments (Stu/Eric)
8,641,93,all,extends into compartment 92 (one of the compartments that would be removed). Remove compartments (Stu/Eric)
7,642,93,all,Signature in benefits over time
8,642,93,all,Signature in benefits over time
7,649,93,all,Removing only 92 and 93 as projects can interact with 95 98 and 103
8,649,93,all,Removing only 92 and 93 as projects can interact with 95 98 and 103
7,650,93,all,Removing only 92 and 93 as projects can interact with 95 98 and 103
8,650,93,all,Removing only 92 and 93 as projects can interact with 95 98 and 103
7,606,95,all,Ridge component of land bridge project extends into comp. 92/93. But still remove compartments per Stu/Eric
8,606,95,all,Ridge component of land bridge project extends into comp. 92/93. But still remove compartments per Stu/Eric
7,607,95,all,Remove compartments
8,607,95,all,Remove compartments
7,619,95,all,Remove compartments
8,619,95,all,Remove compartments
7,632,95,all,Signature in benefits over time
8,632,95,all,Signature in benefits over time
7,633,95,all,Signature in benefits over time
8,633,95,all,Signature in benefits over time
7,639,95,all,Signature in benefits over time
8,639,95,all,Signature in benefits over time
7,640,95,all,Signature in benefits over time
